name,set,image,main_type,sub_type,color_type,special_type,tribe,attribute,level,attack,defense,text
Otohime,DB2,database\images\Otohime.jpg,Monster,Effect,Nil,Spirit,Spellcaster,LIGHT,3,0,100,"This card cannot be Special Summoned. This card returns to the owner's hand during the End Phase of the turn that this card is Normal Summoned or flipped face-up. When this card is Normal Summoned or flipped face-up, you can change the battle position of 1 face-up monster on your opponent's side of the field."
Copy Plant,CSOC,database\images\CopyPlant.jpg,Monster,Effect,Nil,Tuner,Plant,WIND,1,0,0,"Once per turn, you can select 1 face-up Plant-Type monster on the field to have this card's Level become equal to the selected monster's Level, until the End Phase."
Protective Soul Ailin,CRV,database\images\ProtectiveSoulAilin.jpg,Monster,Effect,Nil,Union,Fairy,LIGHT,1,0,0,"Once per turn, during your Main Phase, if you control this card on the field, you can equip it to your ""Indomitable Fighter Lei Lei"" as an Equip Card, OR unequip the Union equipment and Special Summon this card in face-up Attack Position. While equipped to a monster by this card's effect, you can change the equipped monster's battle position once per turn. (1 monster can only be equipped with 1 Union Monster at a time. If the equipped monster is destroyed by battle, destroy this card instead.)"
Mucus Yolk,DB2,database\images\MucusYolk.jpg,Monster,Effect,Nil,Nil,Aqua,DARK,3,0,100,"This card may attack your opponent directly. Each time this card inflicts battle damage to your opponent's Life Points, increase the ATK of this card by 1000 points during your next Standby Phase. The ATK increase lasts as long as this card remains face-up on the field."
T.A.D.P.O.L.E.,CRV,database\images\TADPOLE.jpg,Monster,Effect,Nil,Nil,Aqua,WATER,1,0,0,"When this card on your side of the field is destroyed by battle and sent to your Graveyard, you can add any ""T.A.D.P.O.L.E.""(s) from your Deck to your hand. Then shuffle your Deck."
Ojama Black,DP2,database\images\OjamaBlack.jpg,Monster,Normal,Nil,Nil,Beast,LIGHT,2,0,1000,"He's one of the Ojama Trio. It's said that he butts in by any means necessary. It's also said that when the three are together, something happens."
Ojama Green,DP2,database\images\OjamaGreen.jpg,Monster,Normal,Nil,Nil,Beast,LIGHT,2,0,1000,"He's one of the Ojama Trio. It's said that he butts in by any means necessary. It's also said that when the three are together, something happens."
Ojama King,DP2,database\images\OjamaKing.jpg,Monster,Effect,Fusion,Nil,Beast,LIGHT,6,0,3000,"Ojama Green + ""Ojama Yellow"" + ""Ojama Black"". Select up to 3 of your opponent's Monster Card Zones. As long as this card remains face-up on the field, the selected zones cannot be used."
Ojama Yellow,DP2,database\images\OjamaYellow.jpg,Monster,Normal,Nil,Nil,Beast,LIGHT,2,0,1000,"He's one of the Ojama Trio. It's said that he butts in by any means necessary. It's also said that when the three are together, something happens."
Consecrated Light,ABPF,database\images\ConsecratedLight.jpg,Monster,Effect,Nil,Nil,Fairy,LIGHT,1,0,0,"Neither player can Normal or Special Summon DARK monsters or declare an attack with a DARK monster. This card cannot be destroyed by battle with a DARK monster, and you take no Battle Damage from that battle."
